COD;DESCRICAO;SITUAÇÃO;MOBILE;CLIENTE;AWB;INEF. CLIENTE;STATUS
10166;ABONO HORARIO DE CORTE;PENDENCIA CLIENTE;SIM;SIM;NAO;SIM;ATIVO
10199;ABONO PRAZO AUTORIZADO CLIENTE;NENHUM;NAO;SIM;NAO;SIM;ATIVO
10129;AGUARDANDO AUTORIZACAO CARRO DEDICADO;PENDENCIA CLIENTE;NAO;SIM;NAO;SIM;ATIVO
93;AGUARDANDO CARTA DE CORRECAO;PENDENCIA CLIENTE;NAO;SIM;NAO;SIM;ATIVO
10103;AGUARDANDO DATA DO AGENDAMENTO;PENDENCIA CLIENTE;SIM;SIM;NAO;SIM;ATIVO
85;APREENSAO FISCAL DA MERCADORIA;PENDENCIA CLIENTE;NAO;SIM;NAO;SIM;ATIVO
10198;ATRASO NA DISTRIBUICAO - FILIAL DE ENTREGA;NENHUM;NAO;NAO;NAO;NAO;ATIVO
10177;AVARIA NA EMBALAGEM;PENDENCIAS SOLUCOES OPERACIONAIS;NAO;NAO;NAO;NAO;ATIVO
79;AVARIA PARCIAL;PENDENCIAS SOLUCOES OPERACIONAIS;NAO;NAO;NAO;NAO;ATIVO
78;AVARIA TOTAL;PENDENCIAS SOLUCOES OPERACIONAIS;NAO;NAO;NAO;NAO;ATIVO
10169;BOTICARIO - FRANQUIA ABRIU DEVOLUCAO PARA OUTRA TRANSPORTADO;PENDENCIA;SIM;SIM;NAO;SIM;ATIVO
10167;BOTICARIO - FRANQUIA NAO ESTAVA COM VOLUME PRONTO;PENDENCIA;SIM;SIM;NAO;SIM;ATIVO
91;BOTICARIO - ENTREGA PROGRAMADA;PENDENCIA;NAO;SIM;NAO;SIM;ATIVO
10174;BOTICARIO - FRANQUIA NAO TINHA CONHECIMENTO DA COLETA;PENDENCIA;SIM;SIM;NAO;SIM;ATIVO
10165;BOTICARIO - FRANQUIA NAO ESTAVA COM A NOTA FISCAL PRONTA;PENDENCIA;SIM;SIM;NAO;SIM;ATIVO
10209;BOTICARIO - COLETA REALIZADA;FINALIZADA;NAO;SIM;SIM;NAO;ATIVO
209;CHEGADA ATRASADA;NENHUM;NAO;SIM;NAO;NAO;ATIVO
10175;CHEGADA NA CIDADE OU FILIAL DE DESTINO;NENHUM;NAO;SIM;SIM;NAO;ATIVO
276;CLIENTE - COLETA NAO REALIZADA;PENDENCIA;SIM;SIM;NAO;SIM;ATIVO
77;CLIENTE DESTINO MUDOU DE ENDERECO;PENDENCIA CLIENTE;SIM;SIM;NAO;SIM;ATIVO
29;CLIENTE RETIRA MERCADORIA;PENDENCIA CLIENTE;NAO;SIM;NAO;SIM;ATIVO
10140;CLIENTE SEM VERBA PARA PAGAR O FRETE;PENDENCIA CLIENTE;SIM;SIM;NAO;NAO;ATIVO
10172;CLIENTE SEM GRADE DE AGENDAMENTO;PENDENCIA CLIENTE;SIM;SIM;NAO;SIM;ATIVO
10180;COLETA AUTOMATICA SEM MERCADORIA;FINALIZADA;SIM;SIM;NAO;SIM;ATIVO
10178;COLETA CANCELADA;FINALIZADA;NAO;SIM;NAO;NAO;ATIVO
147;COLETA REALIZADA NORMALMENTE;FINALIZADA;SIM;SIM;NAO;NAO;ATIVO
105;COMPROVANTE DE ENTREGA - RECEBIDO;NENHUM;SIM;SIM;NAO;NAO;ATIVO
402;COMPROVANTE ARQUIVADO;NENHUM;NAO;NAO;NAO;NAO;ATIVO
171;COMPROVANTE RETIDO PELO DESTINATARIO;PENDENCIA CLIENTE;SIM;SIM;NAO;NAO;ATIVO
106;COMPROVANTE REMOVIDO DA REMESSA;PENDENCIA;NAO;SIM;NAO;NAO;ATIVO
125;CTE AUTORIZADO PELO SEFAZ;GERAL;NAO;SIM;NAO;NAO;ATIVO
126;CTE CANCELADO / ANULADO;FINALIZADA;NAO;SIM;NAO;NAO;ATIVO
10187;CTE EM DUPLICIDADE;FINALIZADA;SIM;NAO;NAO;NAO;ATIVO
10189;CTE SUBSTITUIDO;FINALIZADA;NAO;SIM;SIM;NAO;ATIVO
21;DESTINATARIO AUSENTE;PENDENCIA CLIENTE;SIM;SIM;NAO;SIM;ATIVO
10164;DEVOLUCAO AUTORIZADA PELO REMETENTE;FINALIZADA;NAO;SIM;NAO;NAO;ATIVO
10208;DIVERGENCIA DE LACRE;NENHUM;NAO;NAO;NAO;NAO;ATIVO
116;EDI - ENVIADO AUTOMATICAMENTE;NENHUM;NAO;SIM;NAO;NAO;ATIVO
10157;EM ROTA DE ENTREGA;TRANSITO;SIM;SIM;NAO;NAO;ATIVO
10163;EM TRANSFERENCIA ENTRE FILIAIS DA TRANSPORTADORA;PENDENCIA;SIM;SIM;NAO;NAO;ATIVO
60;EMISSAO ERRADA - OUTRA UNIDADE DE ENTREGA;PENDENCIA;SIM;SIM;NAO;NAO;ATIVO
123;EMISSAO REALIZADA VIA EDI;Emissao;NAO;SIM;NAO;NAO;ATIVO
100;EMISSAO REALIZADA;GERAL;NAO;SIM;NAO;NAO;ATIVO
113;EMITIDO CTRC DO TRANSPORTADOR;GERAL;NAO;NAO;NAO;NAO;ATIVO
6;ENDERECO NAO LOCALIZADO;PENDENCIA CLIENTE;SIM;SIM;NAO;SIM;ATIVO
10200;ENTREGA - DEVOLUCAO WURTH;FINALIZADA;NAO;SIM;SIM;NAO;ATIVO
20;ENTREGA PREJUDICADA POR FALTA-HORARIO DE TEMPO HABIL;PENDENCIA;SIM;SIM;NAO;NAO;ATIVO
1;ENTREGA REALIZADA NORMALMENTE;FINALIZADA;SIM;SIM;NAO;NAO;ATIVO
10206;ENTREGA REALIZADA MANUAL;FINALIZADA;NAO;SIM;SIM;NAO;ATIVO
10184;ENTREGA REALIZADA RODOVIASUL;FINALIZADA;NAO;SIM;NAO;NAO;ATIVO
170;ENTREGA REALIZADA PARCIAL;PENDENCIA;SIM;SIM;NAO;NAO;ATIVO
76;ESTRADA/ENTRADA DE ACESSO INTERDITADA;TRANSITO;NAO;SIM;NAO;NAO;ATIVO
10132;EXCESSO DE VEICULOS - FILA DE ESPERA;PENDENCIA CLIENTE;SIM;SIM;NAO;SIM;ATIVO
81;EXTRAVIO PARCIAL;PENDENCIAS SOLUCOES OPERACIONAIS;NAO;NAO;NAO;NAO;ATIVO
